query,category,intent,city,region_code,top_n,pages_to_scan
разработка интернет-магазина Москва,разработка интернет-магазина,commercial,Москва,213,10,2
разработка интернет-магазина Санкт-Петербург,разработка интернет-магазина,commercial,Санкт-Петербург,2,10,2
разработка интернет-магазина Екатеринбург,разработка интернет-магазина,commercial,Екатеринбург,54,10,2
разработка интернет-магазина Новосибирск,разработка интернет-магазина,commercial,Новосибирск,65,10,2
разработка интернет-магазина Казань,разработка интернет-магазина,commercial,Казань,43,10,2
разработка интернет-магазина Краснодар,разработка интернет-магазина,commercial,Краснодар,35,10,2
разработка интернет-магазина Самара,разработка интернет-магазина,commercial,Самара,51,10,2
разработка интернет-магазина Нижний Новгород,разработка интернет-магазина,commercial,Нижний Новгород,47,10,2
разработка интернет-магазина цена Москва,разработка интернет-магазина,commercial,Москва,213,10,2
разработка интернет-магазина цена Санкт-Петербург,разработка интернет-магазина,commercial,Санкт-Петербург,2,10,2
разработка интернет-магазина цена Екатеринбург,разработка интернет-магазина,commercial,Екатеринбург,54,10,2
разработка интернет-магазина цена Новосибирск,разработка интернет-магазина,commercial,Новосибирск,65,10,2
разработка интернет-магазина цена Казань,разработка интернет-магазина,commercial,Казань,43,10,2
разработка интернет-магазина цена Краснодар,разработка интернет-магазина,commercial,Краснодар,35,10,2
разработка интернет-магазина цена Самара,разработка интернет-магазина,commercial,Самара,51,10,2
разработка интернет-магазина цена Нижний Новгород,разработка интернет-магазина,commercial,Нижний Новгород,47,10,2
как выбрать разработка интернет-магазина,разработка интернет-магазина,informational,,,10,2
разработка интернет-магазина отзывы,разработка интернет-магазина,informational,,,10,2
seo продвижение Москва,seo продвижение,commercial,Москва,213,10,2
seo продвижение Санкт-Петербург,seo продвижение,commercial,Санкт-Петербург,2,10,2
seo продвижение Екатеринбург,seo продвижение,commercial,Екатеринбург,54,10,2
seo продвижение Новосибирск,seo продвижение,commercial,Новосибирск,65,10,2
seo продвижение Казань,seo продвижение,commercial,Казань,43,10,2
seo продвижение Краснодар,seo продвижение,commercial,Краснодар,35,10,2
seo продвижение Самара,seo продвижение,commercial,Самара,51,10,2
seo продвижение Нижний Новгород,seo продвижение,commercial,Нижний Новгород,47,10,2
seo продвижение цена Москва,seo продвижение,commercial,Москва,213,10,2
seo продвижение цена Санкт-Петербург,seo продвижение,commercial,Санкт-Петербург,2,10,2
seo продвижение цена Екатеринбург,seo продвижение,commercial,Екатеринбург,54,10,2
seo продвижение цена Новосибирск,seo продвижение,commercial,Новосибирск,65,10,2
seo продвижение цена Казань,seo продвижение,commercial,Казань,43,10,2
seo продвижение цена Краснодар,seo продвижение,commercial,Краснодар,35,10,2
seo продвижение цена Самара,seo продвижение,commercial,Самара,51,10,2
seo продвижение цена Нижний Новгород,seo продвижение,commercial,Нижний Новгород,47,10,2
как выбрать seo продвижение,seo продвижение,informational,,,10,2
seo продвижение отзывы,seo продвижение,informational,,,10,2
контекстная реклама Москва,контекстная реклама,commercial,Москва,213,10,2
контекстная реклама Санкт-Петербург,контекстная реклама,commercial,Санкт-Петербург,2,10,2
контекстная реклама Екатеринбург,контекстная реклама,commercial,Екатеринбург,54,10,2
контекстная реклама Новосибирск,контекстная реклама,commercial,Новосибирск,65,10,2
контекстная реклама Казань,контекстная реклама,commercial,Казань,43,10,2
контекстная реклама Краснодар,контекстная реклама,commercial,Краснодар,35,10,2
контекстная реклама Самара,контекстная реклама,commercial,Самара,51,10,2
контекстная реклама Нижний Новгород,контекстная реклама,commercial,Нижний Новгород,47,10,2
контекстная реклама цена Москва,контекстная реклама,commercial,Москва,213,10,2
контекстная реклама цена Санкт-Петербург,контекстная реклама,commercial,Санкт-Петербург,2,10,2
контекстная реклама цена Екатеринбург,контекстная реклама,commercial,Екатеринбург,54,10,2
контекстная реклама цена Новосибирск,контекстная реклама,commercial,Новосибирск,65,10,2
контекстная реклама цена Казань,контекстная реклама,commercial,Казань,43,10,2
контекстная реклама цена Краснодар,контекстная реклама,commercial,Краснодар,35,10,2
контекстная реклама цена Самара,контекстная реклама,commercial,Самара,51,10,2
контекстная реклама цена Нижний Новгород,контекстная реклама,commercial,Нижний Новгород,47,10,2
как выбрать контекстная реклама,контекстная реклама,informational,,,10,2
контекстная реклама отзывы,контекстная реклама,informational,,,10,2
лазерная эпиляция Москва,лазерная эпиляция,commercial,Москва,213,10,2
лазерная эпиляция Санкт-Петербург,лазерная эпиляция,commercial,Санкт-Петербург,2,10,2
лазерная эпиляция Екатеринбург,лазерная эпиляция,commercial,Екатеринбург,54,10,2
лазерная эпиляция Новосибирск,лазерная эпиляция,commercial,Новосибирск,65,10,2
лазерная эпиляция Казань,лазерная эпиляция,commercial,Казань,43,10,2
лазерная эпиляция Краснодар,лазерная эпиляция,commercial,Краснодар,35,10,2
лазерная эпиляция Самара,лазерная эпиляция,commercial,Самара,51,10,2
лазерная эпиляция Нижний Новгород,лазерная эпиляция,commercial,Нижний Новгород,47,10,2
лазерная эпиляция цена Москва,лазерная эпиляция,commercial,Москва,213,10,2
лазерная эпиляция цена Санкт-Петербург,лазерная эпиляция,commercial,Санкт-Петербург,2,10,2
лазерная эпиляция цена Екатеринбург,лазерная эпиляция,commercial,Екатеринбург,54,10,2
лазерная эпиляция цена Новосибирск,лазерная эпиляция,commercial,Новосибирск,65,10,2
лазерная эпиляция цена Казань,лазерная эпиляция,commercial,Казань,43,10,2
лазерная эпиляция цена Краснодар,лазерная эпиляция,commercial,Краснодар,35,10,2
лазерная эпиляция цена Самара,лазерная эпиляция,commercial,Самара,51,10,2
лазерная эпиляция цена Нижний Новгород,лазерная эпиляция,commercial,Нижний Новгород,47,10,2
как выбрать лазерная эпиляция,лазерная эпиляция,informational,,,10,2
лазерная эпиляция отзывы,лазерная эпиляция,informational,,,10,2
автосервис Москва,автосервис,commercial,Москва,213,10,2
автосервис Санкт-Петербург,автосервис,commercial,Санкт-Петербург,2,10,2
автосервис Екатеринбург,автосервис,commercial,Екатеринбург,54,10,2
автосервис Новосибирск,автосервис,commercial,Новосибирск,65,10,2
автосервис Казань,автосервис,commercial,Казань,43,10,2
автосервис Краснодар,автосервис,commercial,Краснодар,35,10,2
автосервис Самара,автосервис,commercial,Самара,51,10,2
автосервис Нижний Новгород,автосервис,commercial,Нижний Новгород,47,10,2
автосервис цена Москва,автосервис,commercial,Москва,213,10,2
автосервис цена Санкт-Петербург,автосервис,commercial,Санкт-Петербург,2,10,2
автосервис цена Екатеринбург,автосервис,commercial,Екатеринбург,54,10,2
автосервис цена Новосибирск,автосервис,commercial,Новосибирск,65,10,2
автосервис цена Казань,автосервис,commercial,Казань,43,10,2
автосервис цена Краснодар,автосервис,commercial,Краснодар,35,10,2
автосервис цена Самара,автосервис,commercial,Самара,51,10,2
автосервис цена Нижний Новгород,автосервис,commercial,Нижний Новгород,47,10,2
как выбрать автосервис,автосервис,informational,,,10,2
автосервис отзывы,автосервис,informational,,,10,2
