query,url,expert_target_score,label_source,labeler,notes,critical_score,important_score,supporting_score,rank_prior_score,cap_applied,cap_reasons,quality_band,top_positive_factors,top_negative_factors
натяжные потолки Москва,https://www.potolkoff.ru/,72.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=72.0; cap=100.0,0.61457,0.725989,0.9874,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000,page_structure:0.175|title_query_fit:0.352
пластиковые окна Новосибирск,https://bfk.ru/,66.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=66.6; cap=78.0,0.580344,0.753885,0.6365,0.842105,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|media_and_internal_navigation:1.000|technical_metadata:0.974|commercial_trust:0.904,structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.308|page_structure:0.361
пластиковые окна Новосибирск,https://novosibirsk.fabrikauyuta.ru/,78.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=78.2; cap=100.0,0.744828,0.781781,0.837483,0.789474,100.0,,medium,canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.187|title_query_fit:0.437
пластиковые окна Новосибирск,https://plastikovye-okna-nsk.ru/,78.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=78.4; cap=100.0,0.732169,0.796028,0.9093,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000,page_structure:0.378|title_query_fit:0.429
пластиковые окна Новосибирск,https://oknasibirinsk.ru/,78.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=78.3; cap=100.0,0.759934,0.768487,0.8494,0.684211,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.421
пластиковые окна Новосибирск,https://oknaveka.com/,75.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=75.2; cap=100.0,0.720929,0.768768,0.78575,0.631579,100.0,,medium,canonical_consistency:1.000|text_sufficiency:1.000|secondary_commercial_details:1.000|commercial_trust:0.968,structured_support:0.000|title_query_fit:0.445
пластиковые окна Новосибирск,https://orgzz.ru/novosibirsk/plastikovye_okna/district/centralnyy,70.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=content; raw_score=70.8; cap=100.0,0.805088,0.708735,0.438733,0.578947,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|technical_metadata:0.889|text_sufficiency:0.850,secondary_commercial_details:0.120|structured_support:0.346
пластиковые окна Новосибирск,https://oknasiber.ru/,63.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=63.5; cap=100.0,0.587159,0.691479,0.6311,0.526316,100.0,,low,crawl_indexability:0.930|offer_and_conversion:0.860|text_sufficiency:0.850|secondary_commercial_details:0.820,structured_support:0.000|canonical_consistency:0.150|page_structure:0.396|title_query_fit:0.413
пластиковые окна Казань,https://plastikovye-okna-kazan.ru/,80.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=80.8; cap=100.0,0.747669,0.798091,0.9223,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000,page_structure:0.397|title_query_fit:0.448
пластиковые окна Казань,https://vottakieokna.ru/,72.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=homepage; raw_score=72.1; cap=100.0,0.704849,0.7107,0.579,0.947368,100.0,,medium,canonical_consistency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930|commercial_trust:0.904,structured_support:0.000|heading_query_fit:0.411
пластиковые окна Казань,https://oknaxxi-kazan.ru/,67.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=67.0; cap=100.0,0.630665,0.688661,0.565,0.894737,100.0,,medium,crawl_indexability:1.000|media_and_internal_navigation:1.000|technical_metadata:0.982|title_query_fit:0.837,structured_support:0.000|canonical_consistency:0.150|heading_query_fit:0.294|page_structure:0.430
пластиковые окна Казань,https://kazan-ihlas.ru/,84.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=84.1; cap=100.0,0.861818,0.788472,0.737,0.842105,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000
пластиковые окна Казань,https://oknamoll.ru/,71.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=71.6; cap=82.0,0.660589,0.753328,0.71835,0.789474,82.0,important_canonical_points_elsewhere,medium,text_sufficiency:1.000|commercial_trust:0.936|crawl_indexability:0.930|secondary_commercial_details:0.880,structured_support:0.000|canonical_consistency:0.250
пластиковые окна Казань,https://www.okna-rubin.ru/,78.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=78.8; cap=100.0,0.78176,0.744699,0.8316,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,page_structure:0.390
пластиковые окна Казань,https://kazan.zavodplast-eco.ru/,76.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=76.8; cap=100.0,0.725969,0.768251,0.8946,0.684211,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,page_structure:0.399|title_query_fit:0.447
пластиковые окна Казань,https://oknamall.ru/,60.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=60.7; cap=82.0,0.555527,0.639314,0.6325,0.631579,82.0,important_canonical_points_elsewhere,low,text_sufficiency:1.000|crawl_indexability:0.930|media_and_internal_navigation:0.792,heading_query_fit:0.000|structured_support:0.000|canonical_consistency:0.250|page_structure:0.430
пластиковые окна Казань,https://oknakazan.com/,60.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=60.9; cap=100.0,0.559449,0.646305,0.6378,0.578947,100.0,,low,canonical_consistency:1.000|text_sufficiency:1.000|crawl_indexability:0.930|media_and_internal_navigation:0.924,structured_support:0.000|heading_query_fit:0.200|page_structure:0.242|title_query_fit:0.395
пластиковые окна Казань,https://kazanskiye-okna.ru/,59.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=59.6; cap=100.0,0.570749,0.634906,0.5057,0.526316,100.0,,low,canonical_consistency:1.000|crawl_indexability:0.930|text_sufficiency:0.850|technical_metadata:0.799,heading_query_fit:0.000|structured_support:0.000|page_structure:0.295|title_query_fit:0.383
пластиковые окна Краснодар,https://okna-zavod-krasnodar.ru/,77.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=77.3; cap=100.0,0.761741,0.737516,0.67575,1.0,100.0,,medium,canonical_consistency:1.000|crawl_indexability:0.930|commercial_trust:0.904|media_and_internal_navigation:0.881,structured_support:0.000|page_structure:0.377
пластиковые окна Краснодар,https://markakachestva.ru/amenities/6129-luchshie-firmy-plastikovyh-okon-krasnodara-rejting.html,67.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=content; raw_score=67.5; cap=78.0,0.64006,0.733586,0.757367,0.947368,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.216|structured_support:0.312|page_structure:0.415
пластиковые окна Краснодар,https://krasnodar.vekaregion.ru/,73.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=73.9; cap=100.0,0.705747,0.738828,0.695,0.894737,100.0,,medium,canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|commercial_trust:0.936,structured_support:0.000
пластиковые окна Краснодар,https://okna-pvh-krasnodar.ru/,75.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=75.5; cap=100.0,0.691924,0.778043,0.8386,0.842105,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|technical_metadata:0.991,title_query_fit:0.399|page_structure:0.449
пластиковые окна Краснодар,https://vekazavod.ru/,69.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=69.9; cap=100.0,0.608636,0.765212,0.8,0.789474,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|secondary_commercial_details:1.000,structured_support:0.000|canonical_consistency:0.150|heading_query_fit:0.406|title_query_fit:0.438
пластиковые окна Краснодар,https://krasnodar.delaem-okna.ru/,78.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=78.5; cap=100.0,0.740169,0.79651,0.87045,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|offer_and_conversion:1.000|text_sufficiency:1.000,structured_support:0.352|title_query_fit:0.429
пластиковые окна Краснодар,https://krasnodar.oknatrade.ru/catalog/plastikovye-okna/,69.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=product; raw_score=69.3; cap=100.0,0.602683,0.745846,0.737,0.684211,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|commercial_trust:0.968,structured_support:0.000|canonical_consistency:0.150|page_structure:0.325|title_query_fit:0.435
пластиковые окна Краснодар,https://okna-193.ru/,67.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=67.4; cap=100.0,0.617724,0.718736,0.723,0.631579,100.0,,medium,text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930|offer_and_conversion:0.860,structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.440
пластиковые окна Краснодар,https://1oknozavod.ru/,66.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=66.3; cap=100.0,0.587044,0.753354,0.702,0.578947,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|technical_metadata:0.997,structured_support:0.000|canonical_consistency:0.150|heading_query_fit:0.200|title_query_fit:0.432
пластиковые окна Краснодар,https://gornica-okna.ru/,70.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=70.6; cap=100.0,0.686844,0.740326,0.653,0.526316,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.329|title_query_fit:0.373
пластиковые окна Самара,https://okna-sok.ru/,83.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=83.1; cap=100.0,0.823173,0.789424,0.765,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000
пластиковые окна Самара,https://oknasravni.ru/samara,73.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=content; raw_score=73.1; cap=78.0,0.738913,0.789617,0.599,0.947368,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|technical_metadata:0.973,structured_support:0.000|title_query_fit:0.342
пластиковые окна Самара,https://oknazavr.ru/samara/plastikovye-okna/,72.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=content; raw_score=72.0; cap=100.0,0.694351,0.777338,0.797967,0.894737,100.0,,medium,crawl_indexability:1.000|offer_and_conversion:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,canonical_consistency:0.150|structured_support:0.375|title_query_fit:0.449
пластиковые окна Самара,https://samara.okna-plastikovyye.ru/,74.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=74.5; cap=78.0,0.663785,0.793829,0.8484,0.842105,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|offer_and_conversion:1.000|text_sufficiency:1.000,title_query_fit:0.198|page_structure:0.384
пластиковые окна Самара,https://azbukaokon63.ru/,73.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=73.8; cap=100.0,0.671776,0.779503,0.8,0.789474,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|secondary_commercial_details:1.000,structured_support:0.000|canonical_consistency:0.150
пластиковые окна Самара,https://samara.delaem-okna.ru/,80.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=80.7; cap=100.0,0.773295,0.810525,0.87045,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|offer_and_conversion:1.000|text_sufficiency:1.000,structured_support:0.352
пластиковые окна Самара,https://npik.ru/,79.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=79.1; cap=100.0,0.774911,0.806553,0.737,0.684211,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000
пластиковые окна Самара,https://mirokon-samara.ru/,68.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=68.3; cap=100.0,0.643515,0.743226,0.5959,0.631579,100.0,,medium,crawl_indexability:1.000|technical_metadata:0.993|media_and_internal_navigation:0.867|offer_and_conversion:0.860,structured_support:0.000|canonical_consistency:0.150
пластиковые окна Самара,https://www.avito.ru/samara/remont_i_stroitelstvo/plastikovye_okna_8099668986,27.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=content; raw_score=27.3; cap=35.0,0.1491,0.55223,0.16785,0.578947,35.0,critical_http_status_not_ok|critical_intent_alignment_weak|critical_page_not_indexable|critical_query_title_fit_weak|critical_semantic_query_fit_weak|supporting_text_insufficient,blocked,commercial_trust:0.720|mobile_render_performance:0.631|technical_metadata:0.620,heading_query_fit:0.000|structured_support:0.000|media_and_internal_navigation:0.017|semantic_query_fit:0.043
пластиковые окна Самара,https://smr.okna-olkon.ru/,75.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=75.8; cap=100.0,0.799706,0.731068,0.5729,0.526316,100.0,,medium,canonical_consistency:1.000|media_and_internal_navigation:0.962|crawl_indexability:0.930|heading_query_fit:0.888,structured_support:0.000
пластиковые окна Нижний Новгород,https://www.oknakompas.ru/,73.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=73.1; cap=100.0,0.691674,0.716626,0.702,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|heading_query_fit:0.359|title_query_fit:0.365|page_structure:0.377
пластиковые окна Нижний Новгород,https://oknazavr.ru/nizhniy-novgorod/plastikovye-okna/,67.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=content; raw_score=67.3; cap=100.0,0.619087,0.764534,0.755967,0.947368,100.0,,medium,crawl_indexability:1.000|offer_and_conversion:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,canonical_consistency:0.150|title_query_fit:0.359|structured_support:0.375
пластиковые окна Нижний Новгород,https://nn.okna-plastikovyye.ru/,73.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=73.7; cap=100.0,0.653193,0.777978,0.8484,0.894737,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|offer_and_conversion:1.000|text_sufficiency:1.000,page_structure:0.282|title_query_fit:0.356
пластиковые окна Нижний Новгород,https://окна-саксэс.рф/,76.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=76.5; cap=100.0,0.708737,0.759083,0.90065,0.842105,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,page_structure:0.378|title_query_fit:0.383
пластиковые окна Нижний Новгород,https://akonta.ru/,79.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=79.5; cap=100.0,0.731922,0.799327,0.9778,0.789474,100.0,,medium,canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000|secondary_commercial_details:1.000,title_query_fit:0.368
пластиковые окна Нижний Новгород,https://profinn52.ru/,62.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=62.5; cap=78.0,0.638788,0.633223,0.31745,0.736842,78.0,critical_query_title_fit_weak,low,canonical_consistency:1.000|crawl_indexability:0.850|text_sufficiency:0.850,structured_support:0.000|secondary_commercial_details:0.120|title_query_fit:0.195|media_and_internal_navigation:0.315
пластиковые окна Нижний Новгород,https://prizma-okna.ru/,68.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=68.4; cap=100.0,0.623433,0.752747,0.6645,0.684211,100.0,,medium,crawl_indexability:1.000|media_and_internal_navigation:1.000|technical_metadata:0.964|commercial_trust:0.871,structured_support:0.000|canonical_consistency:0.150|heading_query_fit:0.200|page_structure:0.393
пластиковые окна Нижний Новгород,https://okna-navsegda.ru/,73.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=73.9; cap=100.0,0.723063,0.751832,0.696383,0.631579,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|media_and_internal_navigation:1.000|technical_metadata:0.991,structured_support:0.159|title_query_fit:0.401
пластиковые окна Нижний Новгород,https://schtandart-nn.ru/,69.8,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=69.8; cap=78.0,0.688198,0.707301,0.632,0.578947,78.0,critical_query_title_fit_weak,medium,canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|crawl_indexability:0.930,structured_support:0.000|title_query_fit:0.334
пластиковые окна Нижний Новгород,https://nn.zavod-okna-pvh.ru/,75.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=75.3; cap=78.0,0.719965,0.786989,0.799367,0.526316,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.312|title_query_fit:0.343|page_structure:0.427
пластиковые окна цена Москва,https://oknafoster.ru/plastikovye-okna-ceny/,82.1,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=content; raw_score=82.1; cap=100.0,0.830964,0.827702,0.8596,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.437
пластиковые окна цена Москва,https://lemanapro.ru/catalogue/plastikovye-okna/,27.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=product; raw_score=27.2; cap=35.0,0.143476,0.374925,0.03095,0.947368,35.0,critical_http_status_not_ok|critical_intent_alignment_weak|critical_page_not_indexable|critical_query_title_fit_weak|critical_semantic_query_fit_weak|important_commercial_trust_weak|important_extremely_thin_content,blocked,technical_metadata:0.640|mobile_render_performance:0.589|page_structure:0.380,semantic_query_fit:0.000|secondary_commercial_details:0.000|structured_support:0.000|media_and_internal_navigation:0.005
пластиковые окна цена Москва,https://www.veka.ru/calc,60.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=content; raw_score=60.2; cap=78.0,0.604881,0.642562,0.5228,0.894737,78.0,critical_query_title_fit_weak,low,crawl_indexability:1.000|canonical_consistency:1.000|technical_metadata:0.961|text_sufficiency:0.850,structured_support:0.000|title_query_fit:0.176|heading_query_fit:0.200|page_structure:0.329
пластиковые окна цена Москва,https://o-kno.ru/,78.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=81.5; cap=78.0,0.811901,0.773782,0.7896,0.842105,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.342
пластиковые окна цена Москва,https://www.fabrikaokon.ru/price-b.html,80.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=content; raw_score=80.9; cap=100.0,0.822306,0.828222,0.88745,0.789474,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|offer_and_conversion:1.000,title_query_fit:0.412
пластиковые окна цена Москва,https://mosplastokna.ru/,72.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=72.5; cap=100.0,0.697213,0.792481,0.51905,0.736842,100.0,,medium,crawl_indexability:1.000|technical_metadata:0.990|semantic_query_fit:0.900|offer_and_conversion:0.860,structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.398
пластиковые окна цена Москва,https://www.mosokna.ru/,77.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=77.3; cap=100.0,0.763802,0.74709,0.8,0.684211,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|title_query_fit:0.419
пластиковые окна цена Москва,https://www.oknaprosvet.ru/,74.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=74.7; cap=100.0,0.702635,0.790891,0.765,0.631579,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|technical_metadata:0.983,structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.431
пластиковые окна цена Москва,https://www.melke.ru/,74.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=74.4; cap=100.0,0.651317,0.834752,0.9156,0.578947,100.0,,medium,crawl_indexability:1.000|commercial_trust:1.000|offer_and_conversion:1.000|text_sufficiency:1.000,canonical_consistency:0.150|title_query_fit:0.379
пластиковые окна цена Москва,https://okno.ru/kalkulyator-okon/,65.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=content; raw_score=65.0; cap=78.0,0.58637,0.811212,0.774483,0.526316,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|offer_and_conversion:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,canonical_consistency:0.150|title_query_fit:0.176|structured_support:0.187|heading_query_fit:0.351
пластиковые окна цена Санкт-Петербург,https://zavod-plastikovih-okon.ru/,73.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=73.5; cap=100.0,0.691766,0.729159,0.705,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|media_and_internal_navigation:1.000|secondary_commercial_details:1.000,structured_support:0.000|page_structure:0.290|title_query_fit:0.382|mobile_render_performance:0.436
пластиковые окна цена Санкт-Петербург,https://spb.oknafactoria.ru/,22.6,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=homepage; raw_score=22.6; cap=45.0,0.106475,0.326574,0.07295,0.947368,45.0,critical_intent_alignment_weak|critical_page_not_indexable|critical_query_title_fit_weak|critical_semantic_query_fit_weak|critical_title_missing|important_commercial_trust_weak|important_extremely_thin_content,blocked,mobile_render_performance:0.580|technical_metadata:0.520|crawl_indexability:0.430,title_query_fit:0.000|heading_query_fit:0.000|offer_and_conversion:0.000|structured_support:0.000
пластиковые окна цена Санкт-Петербург,https://okna-spb.ru/,71.3,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=71.3; cap=78.0,0.630733,0.734192,0.856767,0.894737,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,page_structure:0.259|structured_support:0.284|title_query_fit:0.310|semantic_query_fit:0.395
пластиковые окна цена Санкт-Петербург,https://oknasravni.ru/sankt-peterburg,69.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=content; raw_score=69.2; cap=78.0,0.702586,0.730428,0.641,0.842105,78.0,critical_query_title_fit_weak,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|technical_metadata:0.962,structured_support:0.000|title_query_fit:0.342
