query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
сдать анализы москва,medical_tests,commercial,Москва,213,10,2,медицинские анализы и лабораторная диагностика,сдача анализов в Москве,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
общий анализ крови цена,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,общий анализ крови,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
анализ крови на гормоны,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,анализы на гормоны,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
пцр тест цена,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,ПЦР тест,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
биохимический анализ крови,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,биохимия крови,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
анализ на витамин д,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,анализ витамина D,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
сдать анализы на дому,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,выезд для сдачи анализов,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
анализы перед операцией,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,предоперационные анализы,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
лаборатория анализов отзывы,medical_tests,comparison,,,10,2,медицинские анализы и лабораторная диагностика,отзывы о лаборатории,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
как подготовиться к анализу крови,medical_tests,informational,,,10,2,медицинские анализы и лабораторная диагностика,подготовка к анализам,страница лаборатории или медцентра с анализом подготовкой сроками ценой адресом и записью,ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг
мебель на заказ москва,custom_furniture,commercial,Москва,213,10,2,мебель на заказ,мебель на заказ в Москве,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
шкаф купе на заказ цена,custom_furniture,commercial,,,10,2,мебель на заказ,шкаф-купе на заказ,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
кухня на заказ цена,custom_furniture,commercial,,,10,2,мебель на заказ,кухня на заказ,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
гардеробная на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,гардеробная на заказ,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
детская мебель на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,детская мебель на заказ,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
мебель для ванной на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,мебель для ванной,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
встроенный шкаф на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,встроенный шкаф,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
корпусная мебель на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,корпусная мебель,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
мебель на заказ отзывы,custom_furniture,comparison,,,10,2,мебель на заказ,отзывы о мебели на заказ,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
как выбрать мебель на заказ,custom_furniture,informational,,,10,2,мебель на заказ,выбор мебели на заказ,страница изготовления мебели на заказ с материалами проектом размерами ценой портфолио и заявкой,готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления
купить кондиционер с установкой,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,покупка кондиционера с установкой,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
установка кондиционера цена,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,цена установки кондиционера,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
сплит система в квартиру,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,сплит-система для квартиры,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
кондиционеры москва,air_conditioners,commercial,Москва,213,10,2,кондиционеры и климатическая техника,кондиционеры в Москве,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
обслуживание кондиционеров,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,сервис кондиционеров,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
заправка кондиционера фреоном,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,заправка кондиционера,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
демонтаж кондиционера,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,демонтаж кондиционера,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
кондиционер для офиса,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,кондиционер для офиса,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
кондиционеры отзывы,air_conditioners,comparison,,,10,2,кондиционеры и климатическая техника,отзывы о кондиционерах,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
как выбрать кондиционер,air_conditioners,informational,,,10,2,кондиционеры и климатическая техника,выбор кондиционера,страница продажи установки или обслуживания кондиционеров с моделями площадью ценой монтажом и заявкой,кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров
уборка квартир москва,cleaning,commercial,Москва,213,10,2,клининг и уборка помещений,уборка квартир в Москве,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
генеральная уборка квартиры цена,cleaning,commercial,,,10,2,клининг и уборка помещений,генеральная уборка квартиры,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
клининг после ремонта,cleaning,commercial,,,10,2,клининг и уборка помещений,уборка после ремонта,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
уборка офиса цена,cleaning,commercial,,,10,2,клининг и уборка помещений,уборка офиса,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
мойка окон клининг,cleaning,commercial,,,10,2,клининг и уборка помещений,мойка окон,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
уборка коттеджа,cleaning,commercial,,,10,2,клининг и уборка помещений,уборка коттеджа,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
еженедельная уборка квартиры,cleaning,commercial,,,10,2,клининг и уборка помещений,регулярная уборка,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
клининг с выездом,cleaning,commercial,,,10,2,клининг и уборка помещений,выездная клининговая услуга,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
клининговая компания отзывы,cleaning,comparison,,,10,2,клининг и уборка помещений,отзывы о клининге,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
как выбрать клининговую компанию,cleaning,informational,,,10,2,клининг и уборка помещений,выбор клининга,страница клининговой услуги с видами уборки площадью ценами составом работ и заявкой,магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений
seo продвижение сайта,seo_webdev,commercial,,,10,2,SEO-продвижение и разработка сайтов,SEO-продвижение сайта,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
продвижение сайта москва,seo_webdev,commercial,Москва,213,10,2,SEO-продвижение и разработка сайтов,продвижение сайта в Москве,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
создание сайта под ключ,seo_webdev,commercial,,,10,2,SEO-продвижение и разработка сайтов,создание сайта под ключ,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
разработка интернет магазина,seo_webdev,commercial,,,10,2,SEO-продвижение и разработка сайтов,разработка интернет-магазина,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
аудит сайта seo,seo_webdev,commercial,,,10,2,SEO-продвижение и разработка сайтов,SEO-аудит сайта,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
контекстная реклама настройка,seo_webdev,commercial,,,10,2,SEO-продвижение и разработка сайтов,настройка контекстной рекламы,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
seo продвижение цена,seo_webdev,commercial,,,10,2,SEO-продвижение и разработка сайтов,стоимость SEO-продвижения,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
разработка лендинга цена,seo_webdev,commercial,,,10,2,SEO-продвижение и разработка сайтов,разработка лендинга,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
seo агентство отзывы,seo_webdev,comparison,,,10,2,SEO-продвижение и разработка сайтов,отзывы о SEO-агентстве,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
как выбрать seo подрядчика,seo_webdev,informational,,,10,2,SEO-продвижение и разработка сайтов,выбор SEO-подрядчика,страница агентства или услуги SEO/разработки с кейсами тарифами процессом командой и заявкой,хостинг; бесплатные шаблоны; новости SEO без услуги; курсы программирования вместо разработки сайта
новостройки москва купить,new_buildings,commercial,Москва,213,10,2,новостройки и покупка квартир,покупка квартиры в новостройке,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
квартира в новостройке цена,new_buildings,commercial,,,10,2,новостройки и покупка квартир,цена квартиры в новостройке,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
жк бизнес класса москва,new_buildings,commercial,Москва,213,10,2,новостройки и покупка квартир,ЖК бизнес-класса,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
новостройки рядом с метро,new_buildings,commercial,,,10,2,новостройки и покупка квартир,новостройки у метро,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
купить студию в новостройке,new_buildings,commercial,,,10,2,новостройки и покупка квартир,покупка студии,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
семейная ипотека новостройки,new_buildings,commercial,,,10,2,новостройки и покупка квартир,семейная ипотека на новостройку,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
новостройки от застройщика,new_buildings,commercial,,,10,2,новостройки и покупка квартир,новостройки от застройщика,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
квартира с отделкой в новостройке,new_buildings,commercial,,,10,2,новостройки и покупка квартир,новостройка с отделкой,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
новостройки отзывы,new_buildings,comparison,,,10,2,новостройки и покупка квартир,отзывы о новостройках,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
как выбрать квартиру в новостройке,new_buildings,informational,,,10,2,новостройки и покупка квартир,выбор квартиры в новостройке,страница ЖК или каталога новостроек с планировками ценами ипотекой районом и контактом отдела продаж,ремонт квартир; дизайн интерьера; аренда жилья; новости недвижимости без объектов
аренда спецтехники москва,special_equipment_rental,commercial,Москва,213,10,2,аренда спецтехники,аренда спецтехники в Москве,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
аренда автокрана цена,special_equipment_rental,commercial,,,10,2,аренда спецтехники,аренда автокрана,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
аренда экскаватора погрузчика,special_equipment_rental,commercial,,,10,2,аренда спецтехники,аренда экскаватора-погрузчика,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
аренда манипулятора,special_equipment_rental,commercial,,,10,2,аренда спецтехники,аренда манипулятора,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
аренда автовышки цена,special_equipment_rental,commercial,,,10,2,аренда спецтехники,аренда автовышки,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
аренда бульдозера,special_equipment_rental,commercial,,,10,2,аренда спецтехники,аренда бульдозера,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
аренда мини экскаватора,special_equipment_rental,commercial,,,10,2,аренда спецтехники,аренда мини-экскаватора,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
спецтехника с оператором,special_equipment_rental,commercial,,,10,2,аренда спецтехники,спецтехника с оператором,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
аренда спецтехники отзывы,special_equipment_rental,comparison,,,10,2,аренда спецтехники,отзывы об аренде спецтехники,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
как выбрать спецтехнику в аренду,special_equipment_rental,informational,,,10,2,аренда спецтехники,выбор спецтехники,страница аренды спецтехники с типами техники грузоподъемностью сменой ценой доставкой и заявкой,продажа спецтехники без аренды; грузоперевозки; такси; ремонт техники
онлайн курсы программирования,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,онлайн-курс программирования,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
курсы python с нуля,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,курс Python для начинающих,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
курсы дизайна интерфейсов,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,курс дизайна интерфейсов,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
курсы интернет маркетинга,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,курс интернет-маркетинга,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
обучение аналитик данных,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,курс аналитика данных,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
курсы английского онлайн,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,онлайн-курс английского,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
курсы smm специалист,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,курс SMM-специалиста,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
профессия frontend разработчик,online_courses,commercial,,,10,2,онлайн-курсы и обучение профессиям,курс frontend-разработчика,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
онлайн школа отзывы,online_courses,comparison,,,10,2,онлайн-курсы и обучение профессиям,отзывы об онлайн-школе,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
как выбрать онлайн курс,online_courses,informational,,,10,2,онлайн-курсы и обучение профессиям,выбор онлайн-курса,страница курса с программой форматом сроками преподавателями ценой сертификатом и записью,бесплатная статья; вуз без онлайн-курса; книжный магазин; вакансии без обучения
купить вино онлайн,wine_store,commercial,,,10,2,винный магазин и покупка вина,покупка вина онлайн,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
винный магазин москва,wine_store,commercial,Москва,213,10,2,винный магазин и покупка вина,винный магазин в Москве,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
красное сухое вино купить,wine_store,commercial,,,10,2,винный магазин и покупка вина,красное сухое вино,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
белое вино цена,wine_store,commercial,,,10,2,винный магазин и покупка вина,цена белого вина,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
игристое вино купить,wine_store,commercial,,,10,2,винный магазин и покупка вина,игристое вино,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
вино с доставкой,wine_store,commercial,,,10,2,винный магазин и покупка вина,доставка вина,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
французское вино купить,wine_store,commercial,,,10,2,винный магазин и покупка вина,французское вино,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
вино к мясу выбрать,wine_store,informational,,,10,2,винный магазин и покупка вина,выбор вина к мясу,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
винный магазин отзывы,wine_store,comparison,,,10,2,винный магазин и покупка вина,отзывы о винном магазине,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
как выбрать хорошее вино,wine_store,informational,,,10,2,винный магазин и покупка вина,выбор вина,каталог винного магазина с ассортиментом странами ценами наличием доставкой или самовывозом,козловые краны; ресторан без продажи вина; экскурсия на винодельню; статья о вине без покупки
